net,length_um
_0928_,7.96
_1233_,7.96
_1177_,7.94
net39,7.94
_0840_,7.92
_0100_,7.905
_1236_,7.88
regfile.regfile\[21\]\[28\],7.88
_0129_,7.815
_0437_,7.8
_0988_,7.78
_0195_,7.745
_0383_,7.74
_0511_,7.74
_0627_,7.72
control,7.69
_0256_,7.68
_0399_,7.68
_0912_,7.68
_1124_,7.68
_0800_,7.66
_1260_,7.66
_1264_,7.64
_1319_,7.64
_0316_,7.6
_0363_,7.6
_1219_,7.6
_1241_,7.6
_0896_,7.58
_0049_,7.565
_0214_,7.56
_0715_,7.56
regfile.regfile\[18\]\[13\],7.56
_0615_,7.52
_1256_,7.52
_0542_,7.46
_0930_,7.44
regfile.regfile\[21\]\[31\],7.44
regfile.regfile\[21\]\[5\],7.44
_0103_,7.42
_0109_,7.42
_0310_,7.41
_0016_,7.385
_0062_,7.345
_0126_,7.345
reset,7.33
_0384_,7.32
_0767_,7.32
_1136_,7.3
_0787_,7.24
_0957_,7.24
_1122_,7.24
_0440_,7.22
_0550_,7.22
_1151_,7.22
_0586_,7.2
_0000_,7.18
_1250_,7.18
_1263_,7.18
_1265_,7.18
regfile.regfile\[12\]\[15\],7.18
regfile.regfile\[7\]\[13\],7.18
_0085_,7.155
_0094_,7.145
_1007_,7.14
_1214_,7.14
_1221_,7.14
regfile.regfile\[18\]\[18\],7.1
_0077_,7.08
_1103_,7.08
_0303_,7.06
regfile.regfile\[12\]\[22\],7.06
_0140_,7.025
_0999_,7.005
_0620_,7
_0599_,6.98
_0350_,6.96
_0631_,6.92
_0134_,6.885
_0375_,6.88
_0114_,6.86
_1004_,6.84
_0430_,6.78
_0484_,6.78
_0580_,6.76
_1228_,6.76
regfile.regfile\[12\]\[11\],6.76
_0182_,6.745
_1108_,6.74
_0462_,6.72
_1267_,6.72
regfile.regfile\[21\]\[13\],6.72
_0010_,6.685
_0111_,6.685
_0461_,6.66
_0974_,6.66
_1111_,6.66
_0740_,6.64
_0054_,6.62
_0893_,6.6
_1130_,6.6
_1213_,6.6
_1245_,6.6
_1251_,6.6
_0851_,6.58
_0012_,6.565
_0045_,6.525
_0610_,6.52
_0106_,6.5
_0723_,6.48
_0345_,6.46
_0199_,6.445
_0042_,6.425
_0170_,6.38
_0320_,6.38
_0352_,6.38
_0107_,6.365
_0339_,6.3
_0433_,6.28
_1275_,6.2
_0004_,6.18
_0498_,6.18
_0579_,6.18
_0428_,6.16
_0644_,6.14
_0132_,6.105
_0608_,6.08
_0112_,6.065
_0184_,6.065
_0773_,6.06
_0960_,6.06
_0267_,6.02
_0743_,6.02
_0061_,5.945
_0181_,5.945
_0966_,5.925
_0123_,5.895
_0104_,5.865
_0613_,5.84
_0702_,5.84
_0459_,5.82
_0196_,5.805
_0528_,5.8
_0981_,5.8
_0983_,5.8
_1186_,5.8
_1257_,5.8
_1224_,5.74
_1304_,5.74
_0193_,5.725
_1176_,5.72
_1075_,5.7
_0298_,5.68
_0575_,5.68
_0785_,5.68
_0839_,5.68
_1271_,5.68
regfile.regfile\[12\]\[12\],5.68
_0058_,5.645
_0483_,5.6
_0097_,5.58
_0113_,5.58
_0512_,5.58
regfile.regfile\[21\]\[20\],5.58
_0191_,5.545
_0089_,5.505
_0118_,5.505
_0176_,5.505
_0183_,5.505
_0337_,5.5
_0895_,5.46
_0139_,5.445
_0124_,5.435
_0815_,5.4
_1079_,5.4
_1121_,5.4
_0576_,5.38
_1147_,5.38
regfile.regfile\[21\]\[9\],5.38
_0583_,5.34
_0592_,5.34
_0836_,5.34
_1042_,5.34
